id,merchantId,customerId,eventType,transactionId,amount,currency,paymentMethod,status,failureReason,checkoutStage,subscriptionStatus,occurredAt,isRecovered
64d32317-7bb2-49cc-9758-0750b3a10ff3,f6483f49-7190-4ed1-b230-ebf5ab3da486,d970f5b7-c035-4991-978a-26887b01b46b,OVERDUE_RECEIVABLE,txn_cd9ac0fe6e3f,178.46,USD,UPI,FAILED,NETWORK_ERROR,CONFIRMATION,,2026-08-08T11:00:21.133975,0
f7530b91-9c0c-450d-be2c-7ae35d620cfc,f6483f49-7190-4ed1-b230-ebf5ab3da486,761f8d16-0b93-46a3-86fe-97f963fa5aac,OVERDUE_RECEIVABLE,txn_5cea8563d45f,271.81,USD,UPI,FAILED,NETWORK_ERROR,AUTHENTICATION,,2026-08-05T14:06:48.641641,0
e871204e-24b0-45d7-ada3-f4e5feed713d,f6483f49-7190-4ed1-b230-ebf5ab3da486,96d4cb5c-503e-4b45-a18e-0ae5b53b6cfb,CHECKOUT_ABANDONMENT,txn_b714a2fa402f,51.51,USD,UPI,FAILED,CUSTOMER_ABANDONED,PAYMENT,,2026-08-15T14:43:38.512700,0
504e82ff-b012-4b46-bfa8-72f1023f9a33,f6483f49-7190-4ed1-b230-ebf5ab3da486,72f597f1-b919-4259-89e8-c44613691ac4,PAYMENT_FAILURE,txn_93634bf7623b,150.79,USD,UPI,FAILED,BANK_DECLINED,PAYMENT,,2026-08-19T20:06:02.437097,0
db7ec1da-55d2-4517-a4be-b38d94aafd28,f6483f49-7190-4ed1-b230-ebf5ab3da486,35580263-8d69-474e-8bfd-a440693955bd,SUBSCRIPTION_FAILURE,txn_912af2904f37,88.32,USD,CARD,FAILED,PAYMENT_METHOD_EXPIRED,PAYMENT,HALTED,2026-08-10T09:45:25.035496,1
e3636bef-5858-497d-8510-25bf5f0844e2,f6483f49-7190-4ed1-b230-ebf5ab3da486,e08f0561-a299-4820-ab51-9a7cf955fd49,SUBSCRIPTION_FAILURE,txn_bc0b56dd4a6b,173.39,USD,NETBANKING,FAILED,INSUFFICIENT_FUNDS,AUTHENTICATION,CANCELED,2026-08-10T05:56:08.436197,1
41517040-86be-4184-98f4-a9a4077095a8,f6483f49-7190-4ed1-b230-ebf5ab3da486,7467301b-43f3-4c1e-9c43-7e4c5e817a95,PAYMENT_FAILURE,txn_e389aa9e995f,78.08,USD,WALLET,FAILED,PAYMENT_METHOD_EXPIRED,PAYMENT,,2026-06-08T21:39:59.398409,1
3a9c5ac9-0a4d-407e-8efd-50441168f373,f6483f49-7190-4ed1-b230-ebf5ab3da486,f851e22a-4e25-4c15-abf5-9d23026ed6c9,SUBSCRIPTION_FAILURE,txn_49831d835fd6,139.6,USD,WALLET,FAILED,INSUFFICIENT_FUNDS,PAYMENT,ACTIVE,2026-08-11T13:40:54.066659,0
a9fd4486-344c-45eb-90b9-291da4ccc759,f6483f49-7190-4ed1-b230-ebf5ab3da486,d22ccca0-9439-46df-9fbb-f40a2aa81aa6,PAYMENT_FAILURE,txn_222c48c7a22c,5.0,USD,UPI,FAILED,BANK_DECLINED,CONFIRMATION,,2026-08-14T04:31:11.769195,1
f2bf2484-b5b8-416f-bd81-bcb7c6880b29,f6483f49-7190-4ed1-b230-ebf5ab3da486,b970fe1d-98ef-46a8-aa5a-0be671b49fff,PAYMENT_FAILURE,txn_d35860b2a9bc,137.48,USD,WALLET,FAILED,BANK_DECLINED,AUTHENTICATION,,2026-08-21T00:35:11.303478,0
